time,from,to,value
10.00,c1.out_0,c2.in_0,64.09924077288223
10.00,c1.out_1,c3.in_0,64.09924077288223
10.00,c3.out_1,c4.in_1,64.09924077288223
20.00,c1.out_0,c2.in_0,19.007105064135466
20.00,c1.out_1,c3.in_0,19.007105064135466
30.00,c1.out_0,c2.in_0,1.6758783650129283
30.00,c1.out_1,c3.in_0,1.6758783650129283
30.00,c3.out_0,c4.in_0,1.6758783650129283
40.00,c1.out_0,c2.in_0,82.903088759442
40.00,c1.out_1,c3.in_0,82.903088759442
40.00,c3.out_1,c4.in_1,82.903088759442
50.00,c1.out_0,c2.in_0,47.44283819425421
50.00,c1.out_1,c3.in_0,47.44283819425421
50.00,c3.out_1,c4.in_1,47.44283819425421
60.00,c1.out_0,c2.in_0,94.11014479031579
60.00,c1.out_1,c3.in_0,94.11014479031579
60.00,c3.out_1,c4.in_1,94.11014479031579
70.00,c1.out_0,c2.in_0,32.138405690125616
70.00,c1.out_1,c3.in_0,32.138405690125616
70.00,c3.out_1,c4.in_1,32.138405690125616
80.00,c1.out_0,c2.in_0,27.752129386906876
80.00,c1.out_1,c3.in_0,27.752129386906876
80.00,c3.out_1,c4.in_1,27.752129386906876
90.00,c1.out_0,c2.in_0,71.42268278662921
90.00,c1.out_1,c3.in_0,71.42268278662921
90.00,c3.out_1,c4.in_1,71.42268278662921
100.00,c1.out_0,c2.in_0,49.10090385441595
100.00,c1.out_1,c3.in_0,49.10090385441595
100.00,c3.out_1,c4.in_1,49.10090385441595
110.00,c1.out_0,c2.in_0,94.949179371432
110.00,c1.out_1,c3.in_0,94.949179371432
110.00,c3.out_1,c4.in_1,94.949179371432
120.00,c1.out_0,c2.in_0,60.06810437282084
120.00,c1.out_1,c3.in_0,60.06810437282084
120.00,c3.out_1,c4.in_1,60.06810437282084
130.00,c1.out_0,c2.in_0,36.5296058894428
130.00,c1.out_1,c3.in_0,36.5296058894428
130.00,c3.out_1,c4.in_1,36.5296058894428
140.00,c1.out_0,c2.in_0,66.76576775728395
140.00,c1.out_1,c3.in_0,66.76576775728395
140.00,c3.out_1,c4.in_1,66.76576775728395
150.00,c1.out_0,c2.in_0,23.60622642829986
150.00,c1.out_1,c3.in_0,23.60622642829986
160.00,c1.out_0,c2.in_0,39.501701758993356
160.00,c1.out_1,c3.in_0,39.501701758993356
160.00,c3.out_1,c4.in_1,39.501701758993356
170.00,c1.out_0,c2.in_0,52.37061582139617
170.00,c1.out_1,c3.in_0,52.37061582139617
170.00,c3.out_1,c4.in_1,52.37061582139617
180.00,c1.out_0,c2.in_0,73.80922870450772
180.00,c1.out_1,c3.in_0,73.80922870450772
180.00,c3.out_1,c4.in_1,73.80922870450772
190.00,c1.out_0,c2.in_0,7.525367868485111
190.00,c1.out_1,c3.in_0,7.525367868485111
190.00,c3.out_0,c4.in_0,7.525367868485111
200.00,c1.out_0,c2.in_0,54.83243679534168
200.00,c1.out_1,c3.in_0,54.83243679534168
200.00,c3.out_1,c4.in_1,54.83243679534168
210.00,c1.out_0,c2.in_0,82.45345006860764
210.00,c1.out_1,c3.in_0,82.45345006860764
210.00,c3.out_1,c4.in_1,82.45345006860764
220.00,c1.out_0,c2.in_0,64.78116543633998
220.00,c1.out_1,c3.in_0,64.78116543633998
220.00,c3.out_1,c4.in_1,64.78116543633998
230.00,c1.out_0,c2.in_0,33.53647035820727
230.00,c1.out_1,c3.in_0,33.53647035820727
230.00,c3.out_1,c4.in_1,33.53647035820727
240.00,c1.out_0,c2.in_0,22.105255628123498
240.00,c1.out_1,c3.in_0,22.105255628123498
250.00,c1.out_0,c2.in_0,60.18467333454321
250.00,c1.out_1,c3.in_0,60.18467333454321
250.00,c3.out_1,c4.in_1,60.18467333454321
260.00,c1.out_0,c2.in_0,5.803653498245587
260.00,c1.out_1,c3.in_0,5.803653498245587
260.00,c3.out_0,c4.in_0,5.803653498245587
270.00,c1.out_0,c2.in_0,70.46567459195086
270.00,c1.out_1,c3.in_0,70.46567459195086
270.00,c3.out_1,c4.in_1,70.46567459195086
280.00,c1.out_0,c2.in_0,65.94952644858812
280.00,c1.out_1,c3.in_0,65.94952644858812
280.00,c3.out_1,c4.in_1,65.94952644858812
290.00,c1.out_0,c2.in_0,60.03226467985444
290.00,c1.out_1,c3.in_0,60.03226467985444
290.00,c3.out_1,c4.in_1,60.03226467985444
300.00,c1.out_0,c2.in_0,79.54708403608434
300.00,c1.out_1,c3.in_0,79.54708403608434
300.00,c3.out_1,c4.in_1,79.54708403608434
310.00,c1.out_0,c2.in_0,4.019782269903372
310.00,c1.out_1,c3.in_0,4.019782269903372
310.00,c3.out_0,c4.in_0,4.019782269903372
320.00,c1.out_0,c2.in_0,92.3499212307348
320.00,c1.out_1,c3.in_0,92.3499212307348
320.00,c3.out_1,c4.in_1,92.3499212307348
330.00,c1.out_0,c2.in_0,10.103763399480181
330.00,c1.out_1,c3.in_0,10.103763399480181
330.00,c3.out_0,c4.in_0,10.103763399480181
340.00,c1.out_0,c2.in_0,21.897962425729478
340.00,c1.out_1,c3.in_0,21.897962425729478
350.00,c1.out_0,c2.in_0,39.79756897769959
350.00,c1.out_1,c3.in_0,39.79756897769959
350.00,c3.out_1,c4.in_1,39.79756897769959
360.00,c1.out_0,c2.in_0,91.03723022991521
360.00,c1.out_1,c3.in_0,91.03723022991521
360.00,c3.out_1,c4.in_1,91.03723022991521
370.00,c1.out_0,c2.in_0,70.9395761543747
370.00,c1.out_1,c3.in_0,70.9395761543747
370.00,c3.out_1,c4.in_1,70.9395761543747
380.00,c1.out_0,c2.in_0,60.416324050262496
380.00,c1.out_1,c3.in_0,60.416324050262496
380.00,c3.out_1,c4.in_1,60.416324050262496
390.00,c1.out_0,c2.in_0,53.99760397070508
390.00,c1.out_1,c3.in_0,53.99760397070508
390.00,c3.out_1,c4.in_1,53.99760397070508
400.00,c1.out_0,c2.in_0,7.708297391624585
400.00,c1.out_1,c3.in_0,7.708297391624585
400.00,c3.out_0,c4.in_0,7.708297391624585
410.00,c1.out_0,c2.in_0,65.49870926354416
410.00,c1.out_1,c3.in_0,65.49870926354416
410.00,c3.out_1,c4.in_1,65.49870926354416
420.00,c1.out_0,c2.in_0,11.743639922162652
420.00,c1.out_1,c3.in_0,11.743639922162652
420.00,c3.out_0,c4.in_0,11.743639922162652
430.00,c1.out_0,c2.in_0,99.13229121856271
430.00,c1.out_1,c3.in_0,99.13229121856271
430.00,c3.out_1,c4.in_1,99.13229121856271
440.00,c1.out_0,c2.in_0,28.03339778172721
440.00,c1.out_1,c3.in_0,28.03339778172721
440.00,c3.out_1,c4.in_1,28.03339778172721
450.00,c1.out_0,c2.in_0,30.347315498371096
450.00,c1.out_1,c3.in_0,30.347315498371096
450.00,c3.out_1,c4.in_1,30.347315498371096
460.00,c1.out_0,c2.in_0,77.49835258297269
460.00,c1.out_1,c3.in_0,77.49835258297269
460.00,c3.out_1,c4.in_1,77.49835258297269
470.00,c1.out_0,c2.in_0,9.03215101265783
470.00,c1.out_1,c3.in_0,9.03215101265783
